Column1,Column12,Column13,Column2
212.198,1,212.198,-1567.035
212.308,1,212.308,-1566.155
212.417,1,212.417,-1565.315
212.527,1,212.527,-1564.495
212.636,1,212.636,-1563.62
212.7457,1,212.7457,-1562.753
212.8552,1,212.8552,-1561.863
212.9647,1,212.9647,-1560.983
213.0742,1,213.0742,-1560.061
213.1837,1,213.1837,-1559.151
213.2932,1,213.2932,-1558.248
213.4027,1,213.4027,-1557.32
213.5122,1,213.5122,-1556.418
213.6217,1,213.6217,-1555.564
213.7312,1,213.7312,-1554.736
213.8407,1,213.8407,-1553.899
213.9502,1,213.9502,-1553.013
214.0597,1,214.0597,-1552.163
214.1692,1,214.1692,-1551.381
214.2787,1,214.2787,-1550.635
214.3882,1,214.3882,-1549.886
214.4977,1,214.4977,-1549.158
214.6072,1,214.6072,-1548.401
214.7167,1,214.7167,-1547.661
214.8262,1,214.8262,-1546.988
214.9357,1,214.9357,-1546.288
215.0452,1,215.0452,-1545.55
215.1547,1,215.1547,-1544.825
215.2642,1,215.2642,-1544.108
215.3737,1,215.3737,-1543.391
215.4832,1,215.4832,-1542.662
215.5927,1,215.5927,-1541.918
215.7022,1,215.7022,-1541.132
215.8117,1,215.8117,-1540.376
215.9212,1,215.9212,-1539.689
216.0307,1,216.0307,-1539.081
216.1402,1,216.1402,-1538.479
216.2497,1,216.2497,-1537.838
216.3592,1,216.3592,-1537.202
216.4687,1,216.4687,-1536.601
216.5782,1,216.5782,-1536.042
216.6877,1,216.6877,-1535.441
216.7972,1,216.7972,-1534.855
216.9067,1,216.9067,-1534.321
217.0162,1,217.0162,-1533.809
217.1257,1,217.1257,-1533.326
217.2352,1,217.2352,-1532.836
217.3447,1,217.3447,-1532.319
217.4542,1,217.4542,-1531.858
217.5637,1,217.5637,-1531.393
217.6732,1,217.6732,-1530.925
217.7827,1,217.7827,-1530.486
217.8922,1,217.8922,-1530.074
218.0017,1,218.0017,-1529.583
218.1112,1,218.1112,-1529.093
218.2207,1,218.2207,-1528.606
218.3302,1,218.3302,-1528.146
218.4397,1,218.4397,-1527.714
218.5492,1,218.5492,-1527.234
218.6587,1,218.6587,-1526.732
218.7682,1,218.7682,-1526.225
218.8777,1,218.8777,-1525.729
218.9872,1,218.9872,-1525.178
219.0967,1,219.0967,-1524.646
219.2062,1,219.2062,-1524.161
219.3157,1,219.3157,-1523.68
219.4252,1,219.4252,-1523.169
219.5347,1,219.5347,-1522.611
219.6442,1,219.6442,-1522.008
219.7537,1,219.7537,-1521.391
219.8632,1,219.8632,-1520.785
219.9727,1,219.9727,-1520.25
220.0822,1,220.0822,-1519.771
220.1917,1,220.1917,-1519.35
220.3012,1,220.3012,-1518.866
220.4107,1,220.4107,-1518.357
220.5202,1,220.5202,-1517.825
220.6297,1,220.6297,-1517.321
220.7392,1,220.7392,-1516.865
220.8487,1,220.8487,-1516.433
220.9582,1,220.9582,-1516.062
221.0677,1,221.0677,-1515.667
221.1772,1,221.1772,-1515.231
221.2867,1,221.2867,-1514.823
221.3962,1,221.3962,-1514.448
221.5057,1,221.5057,-1514.12
221.6152,1,221.6152,-1513.731
221.7247,1,221.7247,-1513.388
221.8342,1,221.8342,-1513.104
221.9437,1,221.9437,-1512.862
222.0532,1,222.0532,-1512.619
222.1627,1,222.1627,-1512.372
222.2722,1,222.2722,-1512.123
222.3817,1,222.3817,-1511.885
222.4912,1,222.4912,-1511.587
222.6007,1,222.6007,-1511.224
222.7102,1,222.7102,-1510.863
222.8197,1,222.8197,-1510.474
222.9292,1,222.9292,-1510.081
223.0387,1,223.0387,-1509.72
223.1482,1,223.1482,-1509.394
223.2577,1,223.2577,-1509.076
223.3672,1,223.3672,-1508.779
223.4767,1,223.4767,-1508.559
223.5862,1,223.5862,-1508.382
223.6957,1,223.6957,-1508.245
223.8052,1,223.8052,-1508.116
223.9147,1,223.9147,-1507.964
224.0242,1,224.0242,-1507.879
224.1337,1,224.1337,-1507.816
224.2432,1,224.2432,-1507.726
224.3527,1,224.3527,-1507.684
224.4622,1,224.4622,-1507.706
224.5717,1,224.5717,-1507.776
224.6812,1,224.6812,-1507.808
224.7907,1,224.7907,-1507.85
224.9002,1,224.9002,-1507.903
225.0097,1,225.0097,-1508.015
225.1192,1,225.1192,-1508.158
225.2287,1,225.2287,-1508.272
225.3382,1,225.3382,-1508.431
225.4477,1,225.4477,-1508.597
225.5572,1,225.5572,-1508.722
225.6667,1,225.6667,-1508.846
