Column1,Column13,Column12,Column2,,
210.445,1,210.445,-242.982,,
210.555,1,210.555,-244.716,,
210.664,1,210.664,-246.794,,
210.774,1,210.774,-249.357,,
210.884,1,210.884,-251.085,,
210.993,1,210.993,-252.425,,`
211.103,1,211.103,-253.885,,
211.212,1,211.212,-255.117,,
211.322,1,211.322,-256.861,,
211.431,1,211.431,-258.676,,
211.541,1,211.541,-260.283,,
211.65,1,211.65,-261.823,,
211.76,1,211.76,-262.853,,
211.87,1,211.87,-263.545,,
211.979,1,211.979,-264.067,,
212.089,1,212.089,-264.013,,
212.198,1,212.198,-263.525,,
212.308,1,212.308,-263.434,,
212.417,1,212.417,-262.93,,
212.527,1,212.527,-263.441,,
212.636,1,212.636,-264.139,,
212.746,1,212.746,-265.517,,
212.856,1,212.856,-267.485,,
212.965,1,212.965,-268.904,,
213.075,1,213.075,-270.058,,
213.184,1,213.184,-271.617,,
213.294,1,213.294,-272.39,,
213.403,1,213.403,-272.583,,
213.513,1,213.513,-271.96,,
213.622,1,213.622,-270.662,,
213.732,1,213.732,-268.796,,
213.842,1,213.842,-265.662,,
213.951,1,213.951,-261.793,,
214.061,1,214.061,-257.633,,
214.17,1,214.17,-253.081,,
214.28,1,214.28,-248.518,,
214.389,1,214.389,-244.353,,
214.499,1,214.499,-239.737,,
214.608,1,214.608,-234.65,,
214.718,1,214.718,-228.913,,
214.828,1,214.828,-222.789,,
214.937,1,214.937,-217.4,,
215.047,1,215.047,-212.69,,
215.156,1,215.156,-207.973,,
215.266,1,215.266,-202.276,,
215.375,1,215.375,-196.63,,
215.485,1,215.485,-191.415,,
215.594,1,215.594,-185.903,,
215.704,1,215.704,-179.465,,
215.814,1,215.814,-173.188,,
215.923,1,215.923,-167.406,,
216.033,1,216.033,-160.53,,
216.142,1,216.142,-154.034,,
216.252,1,216.252,-148.446,,
216.361,1,216.361,-143.164,,
216.471,1,216.471,-137.722,,
216.58,1,216.58,-132.013,,
216.69,1,216.69,-126.701,,
216.799,1,216.799,-121.606,,
216.909,1,216.909,-116.964,,
217.019,1,217.019,-113.228,,
217.128,1,217.128,-110.376,,
217.238,1,217.238,-107.11,,
217.347,1,217.347,-103.188,,
217.457,1,217.457,-99.463,,
217.566,1,217.566,-96.967,,
217.676,1,217.676,-95.31,,
217.785,1,217.785,-94.419,,
217.895,1,217.895,-94.563,,
218.005,1,218.005,-94.736,,
218.114,1,218.114,-94.639,,
218.224,1,218.224,-93.709,,
218.333,1,218.333,-91.8,,
218.443,1,218.443,-89.371,,
218.552,1,218.552,-85.761,,
218.662,1,218.662,-82.001,,
218.771,1,218.771,-78.997,,
218.881,1,218.881,-76.936,,
218.991,1,218.991,-75.117,,
219.1,1,219.1,-73.341,,
219.21,1,219.21,-71.823,,
219.319,1,219.319,-70.303,,
219.429,1,219.429,-68.639,,
219.538,1,219.538,-66.314,,
219.648,1,219.648,-62.806,,
219.757,1,219.757,-58.281,,
219.867,1,219.867,-53.66,,
219.977,1,219.977,-49.594,,
220.086,1,220.086,-46.46,,
220.196,1,220.196,-44.58,,
220.305,1,220.305,-42.094,,
220.415,1,220.415,-40.64,,
220.524,1,220.524,-38.809,,
220.634,1,220.634,-36.898,,
220.743,1,220.743,-34.958,,
220.853,1,220.853,-33.496,,
220.963,1,220.963,-31.597,,
221.072,1,221.072,-29.47,,
221.182,1,221.182,-26.979,,
221.291,1,221.291,-24.258,,
221.401,1,221.401,-22.315,,
221.51,1,221.51,-20.066,,
221.62,1,221.62,-17.865,,
221.729,1,221.729,-14.749,,
221.839,1,221.839,-11.261,,
221.949,1,221.949,-6.73,,
222.058,1,222.058,-2.337,,
222.168,1,222.168,1.807,,
222.277,1,222.277,6.267,,
222.387,1,222.387,9.339,,
222.496,1,222.496,13.144,,
222.606,1,222.606,17.88,,
222.715,1,222.715,22.589,,
222.825,1,222.825,27.645,,
222.935,1,222.935,31.53,,
223.044,1,223.044,33.766,,
223.154,1,223.154,35.97,,
223.263,1,223.263,38.203,,
223.373,1,223.373,40.328,,
223.482,1,223.482,42.158,,
223.592,1,223.592,43.473,,
223.701,1,223.701,44.753,,
223.811,1,223.811,45.127,,
223.921,1,223.921,46.864,,
224.03,1,224.03,47.815,,
224.14,1,224.14,47.886,,
224.249,1,224.249,47.059,,
224.359,1,224.359,46.387,,
224.468,1,224.468,44.464,,
224.578,1,224.578,41.859,,
224.687,1,224.687,38.164,,
224.797,1,224.797,34.254,,
224.907,1,224.907,29.766,,
225.016,1,225.016,24.753,,
225.126,1,225.126,19.292,,
225.235,1,225.235,13.937,,
225.345,1,225.345,8.084,,
225.454,1,225.454,2.678,,
225.564,1,225.564,-1.506,,
225.673,1,225.673,-4.786,,
225.783,1,225.783,-9.231,,
225.893,1,225.893,-13.747,,
226.002,1,226.002,-18.577,,
226.112,1,226.112,-24.141,,
226.221,1,226.221,-30.565,,
226.331,1,226.331,-35.354,,
226.44,1,226.44,-40.814,,
226.55,1,226.55,-46.169,,
226.659,1,226.659,-50.797,,
226.769,1,226.769,-54.906,,
226.879,1,226.879,-58.658,,
226.988,1,226.988,-61.861,,
227.098,1,227.098,-63.997,,
227.207,1,227.207,-64.914,,
227.317,1,227.317,-66.031,,
227.426,1,227.426,-67.994,,
227.536,1,227.536,-69.751,,
227.645,1,227.645,-70.257,,
227.755,1,227.755,-70.269,,
227.865,1,227.865,-71.193,,
227.974,1,227.974,-70.473,,
228.084,1,228.084,-68.14,,
228.193,1,228.193,-64.92,,
228.303,1,228.303,-61.661,,
228.412,1,228.412,-57.362,,
228.522,1,228.522,-54.037,,
228.631,1,228.631,-51.371,,
228.741,1,228.741,-49.091,,
228.851,1,228.851,-47.808,,
228.96,1,228.96,-47.495,,
229.07,1,229.07,-48.765,,
229.179,1,229.179,-50.095,,
229.289,1,229.289,-51.076,,
229.398,1,229.398,-53.057,,
229.508,1,229.508,-55.475,,
229.617,1,229.617,-58.574,,
229.727,1,229.727,-62.764,,
229.837,1,229.837,-67.57,,
229.946,1,229.946,-72.24,,
230.056,1,230.056,-76.469,,
230.165,1,230.165,-81.586,,
230.275,1,230.275,-88.417,,
230.384,1,230.384,-94.647,,
230.494,1,230.494,-100.292,,
230.603,1,230.603,-105.339,,
230.713,1,230.713,-109.885,,
230.823,1,230.823,-114.78,,
230.932,1,230.932,-118.352,,
231.042,1,231.042,-120.006,,
231.151,1,231.151,-120.067,,
231.261,1,231.261,-118.517,,
231.37,1,231.37,-115.511,,
231.48,1,231.48,-112.063,,
231.589,1,231.589,-108.467,,
231.699,1,231.699,-103.688,,
231.809,1,231.809,-98.155,,
231.918,1,231.918,-91.413,,
232.028,1,232.028,-85.254,,
232.137,1,232.137,-78.296,,
232.247,1,232.247,-71.919,,
232.356,1,232.356,-67.213,,
232.466,1,232.466,-63.534,,
232.575,1,232.575,-60.111,,
232.685,1,232.685,-55.328,,
232.795,1,232.795,-49.319,,
232.904,1,232.904,-43.606,,
233.014,1,233.014,-37.344,,
233.123,1,233.123,-32.235,,
233.233,1,233.233,-28.779,,
233.342,1,233.342,-26.42,,
233.452,1,233.452,-23.95,,
233.561,1,233.561,-21.903,,
233.671,1,233.671,-20.247,,
233.781,1,233.781,-19.663,,
233.89,1,233.89,-19.61,,
234,1,234,-19.862,,
234.109,1,234.109,-20.692,,
234.219,1,234.219,-21.372,,
234.328,1,234.328,-22.624,,
234.438,1,234.438,-23.906,,
234.547,1,234.547,-26.491,,
234.657,1,234.657,-29.797,,
234.767,1,234.767,-33.146,,
234.876,1,234.876,-36.898,,
234.986,1,234.986,-41.027,,
235.095,1,235.095,-45.692,,
235.205,1,235.205,-49.725,,
235.314,1,235.314,-52.772,,
235.424,1,235.424,-54.483,,
235.533,1,235.533,-54.971,,
235.643,1,235.643,-53.484,,
235.753,1,235.753,-51.721,,
235.862,1,235.862,-51.346,,
235.972,1,235.972,-52.105,,
236.081,1,236.081,-52.636,,
236.191,1,236.191,-51.369,,
236.3,1,236.3,-49.395,,
236.41,1,236.41,-45.669,,
236.519,1,236.519,-41.08,,
236.629,1,236.629,-37.79,,
236.739,1,236.739,-34.453,,
236.848,1,236.848,-30.971,,
236.958,1,236.958,-26.083,,
237.067,1,237.067,-21.608,,
237.177,1,237.177,-17.998,,
237.286,1,237.286,-13.89,,
237.396,1,237.396,-8.679,,
237.505,1,237.505,-3.994,,
237.615,1,237.615,-0.77,,
237.725,1,237.725,1.351,,
237.834,1,237.834,3.572,,
237.944,1,237.944,5.187,,
238.053,1,238.053,6.61,,
238.163,1,238.163,8.199,,
238.272,1,238.272,8.277,,
238.382,1,238.382,9.59,,
238.491,1,238.491,9.257,,
238.601,1,238.601,9.537,,
238.711,1,238.711,11.368,,
238.82,1,238.82,12.841,,
238.93,1,238.93,14.145,,
239.039,1,239.039,14.855,,
239.149,1,239.149,16.928,,
239.258,1,239.258,19.879,,
239.368,1,239.368,23.467,,
239.477,1,239.477,26.728,,
239.587,1,239.587,30.45,,
239.697,1,239.697,34.014,,
239.806,1,239.806,37.692,,
239.916,1,239.916,40.56,,
240.025,1,240.025,43.326,,
240.135,1,240.135,47.565,,
240.244,1,240.244,52.921,,
240.354,1,240.354,55.73,,
240.463,1,240.463,56.016,,
240.573,1,240.573,54.206,,
240.683,1,240.683,52.224,,
240.792,1,240.792,49.39,,
240.902,1,240.902,47.666,,
241.011,1,241.011,45.617,,
241.121,1,241.121,42.627,,
241.23,1,241.23,40.277,,
241.34,1,241.34,37.416,,
241.449,1,241.449,34.438,,
241.559,1,241.559,32.912,,
241.669,1,241.669,30.755,,
241.778,1,241.778,28.13,,
241.888,1,241.888,26.591,,
241.997,1,241.997,27.119,,
242.107,1,242.107,28.743,,
242.216,1,242.216,30.492,,
242.326,1,242.326,32.117,,
242.435,1,242.435,31.866,,
242.545,1,242.545,31.597,,
242.655,1,242.655,29.797,,
242.764,1,242.764,28.459,,
242.874,1,242.874,25.963,,
242.983,1,242.983,24.173,,
243.093,1,243.093,21.791,,
243.202,1,243.202,20.26,,
243.312,1,243.312,19.155,,
243.421,1,243.421,17.407,,
243.531,1,243.531,15.004,,
243.64,1,243.64,11.672,,
243.75,1,243.75,7.618,,
243.86,1,243.86,3.111,,
243.969,1,243.969,-2.337,,
244.079,1,244.079,-7.965,,
244.188,1,244.188,-14.661,,
244.298,1,244.298,-22.132,,
244.407,1,244.407,-28.89,,
244.517,1,244.517,-36.163,,
244.626,1,244.626,-43.289,,
244.736,1,244.736,-50.136,,
244.846,1,244.846,-57.571,,
244.955,1,244.955,-63.745,,
245.065,1,245.065,-69.151,,
245.174,1,245.174,-73.705,,
245.284,1,245.284,-78.11,,
245.393,1,245.393,-83.047,,
245.503,1,245.503,-88.816,,
245.612,1,245.612,-95.152,,
245.722,1,245.722,-102.663,,
245.832,1,245.832,-110.422,,
245.941,1,245.941,-116.689,,
246.051,1,246.051,-122.031,,
246.16,1,246.16,-127.054,,
246.27,1,246.27,-130.546,,
246.379,1,246.379,-132.001,,
246.489,1,246.489,-134.046,,
246.598,1,246.598,-135.972,,
246.708,1,246.708,-138.7,,
246.818,1,246.818,-141.544,,
246.927,1,246.927,-145.619,,
247.037,1,247.037,-147.913,,
247.146,1,247.146,-148.85,,
247.256,1,247.256,-149.737,,
247.365,1,247.365,-151.094,,
247.475,1,247.475,-152.044,,
247.584,1,247.584,-152.723,,
247.694,1,247.694,-153.809,,
247.804,1,247.804,-154.604,,
247.913,1,247.913,-155.676,,
248.023,1,248.023,-154.874,,
248.132,1,248.132,-151.822,,
248.242,1,248.242,-148.487,,
248.351,1,248.351,-145.004,,
248.461,1,248.461,-140.469,,
248.57,1,248.57,-135.059,,
248.68,1,248.68,-128.527,,
248.79,1,248.79,-119.053,,
248.899,1,248.899,-111.07,,
249.009,1,249.009,-102.916,,
249.118,1,249.118,-95.442,,
249.228,1,249.228,-88.434,,
249.337,1,249.337,-80.696,,
249.447,1,249.447,-74.318,,
249.556,1,249.556,-69.499,,
249.666,1,249.666,-64.676,,
249.776,1,249.776,-60.271,,
249.885,1,249.885,-56.044,,
249.995,1,249.995,-51.363,,
250.104,1,250.104,-47.839,,
250.214,1,250.214,-46.087,,
250.323,1,250.323,-45.238,,
250.433,1,250.433,-46.467,,
250.542,1,250.542,-47.694,,
250.652,1,250.652,-50.427,,
250.762,1,250.762,-54.72,,
250.871,1,250.871,-57.314,,
250.981,1,250.981,-59.773,,
251.09,1,251.09,-62.991,,
251.2,1,251.2,-66.343,,
251.309,1,251.309,-70.898,,
